Aasta,Esmakordselt abiellunud Mehed,Esmakordselt abiellunud Naised,Korduvalt abiellunud Mehed,Korduvalt abiellunud Naised
1950,9685,9458,771,998
1951,9379,9245,724,858
1952,8693,8573,791,911
1953,8972,8866,766,872
1954,10164,9920,919,1163
1955,10709,10685,1218,1242
1956,10956,10987,1398,1367
1957,11448,11534,1640,1554
1958,10964,10977,1691,1678
1959,10485,10519,1616,1582
1960,10411,10501,1735,1645
1961,10354,10351,1570,1573
1962,9494,9525,1560,1529
1963,9296,9315,1637,1618
1964,9129,9116,1692,1705
1965,8828,8840,1739,1727
1966,9136,9191,2136,2081
1967,9425,9518,2153,2060
1968,9720,9758,2138,2100
1969,10142,10208,2105,2039
1970,10216,10333,2157,2040
1971,10251,10351,2263,2163
1972,9656,9639,2138,2155
1973,9909,9983,2291,2217
1974,9808,9954,2469,2323
1975,9945,9957,2498,2486
1976,9897,9930,2415,2382
1977,9932,10023,2648,2557
1978,9851,9847,2641,2645
1979,10042,10137,2742,2647
1980,10083,10207,2881,2757
1981,9971,9900,2854,2925
1982,9402,9396,2861,2867
1983,9708,9706,3209,3211
1984,9267,9352,3263,3178
1985,9579,9559,3282,3302
1986,9453,9453,3547,3547
1987,9642,9553,3792,3881
1988,9267,9246,3703,3724
1989,9176,9194,3467,3450
1990,8362,8436,3410,3336
1991,7415,7423,2873,2864
1992,6159,6124,2694,2706
1993,5211,5216,2518,2498
1994,4856,4855,2521,2522
1995,4650,4730,2352,2273
1996,3721,3670,1796,1847
1997,3731,3720,1858,1869
1998,3620,3633,1810,1797
1999,3785,3825,1805,1765
2000,3711,3706,1774,1778
2001,3785,3816,1862,1831
2002,4024,4048,1829,1805
2003,3949,4035,1750,1664
2004,4189,4257,1820,1752
2005,4234,4384,1887,1737
2006,4843,4979,2111,1975
2007,4966,5103,2056,1919
2008,4353,4459,1773,1668
2009,3813,3935,1549,1427
2010,3706,3775,1360,1291
2011,4012,4015,1487,1484
2012,4306,4392,1581,1496
2013,4108,4148,1522,1482
2014,4391,4365,1549,1573
2015,4679,4739,1684,1624
2016,4578,4660,1575,1574
2017,4590,4597,1587,1651
2018,4679,4528,1524,1591
2019,4517,4467,1638,1735
2020,4123,4046,1554,1642
2021,4163,4095,1654,1723
