Aasta,Meeste vanuserühm,Naised vanuses 15-19,Naised vanuses 20-24,Naised vanuses 25-29,Naised vanuses 30-34,Naised vanuses 35-39,Naised vanuses 40-44,Naised vanuses 45-49,Naised vanuses 50-54,Naised vanuses 55-59,Naised vanuses 60-64,Naised vanuses 65-69,Naised vanuses 70-74,Naised vanuses 75 ja enam
2019,Mehed vanuses 15-19,3,1,0,0,0,0,0,0,0,0,0,0,0
2019,Mehed vanuses 20-24,4,33,12,1,0,0,0,0,0,0,0,0,0
2019,Mehed vanuses 25-29,2,46,109,28,6,4,2,1,0,0,0,0,0
2019,Mehed vanuses 30-34,1,26,138,174,59,12,0,1,0,0,0,0,0
2019,Mehed vanuses 35-39,0,4,52,161,165,34,20,3,2,0,0,0,0
2019,Mehed vanuses 40-44,0,1,11,76,171,158,52,11,3,1,0,0,0
2019,Mehed vanuses 45-49,0,1,3,15,66,127,146,38,9,0,0,0,0
2019,Mehed vanuses 50-54,0,0,2,10,18,45,103,96,21,6,1,0,0
2019,Mehed vanuses 55-59,0,0,0,1,8,14,24,54,74,12,1,0,0
2019,Mehed vanuses 60-64,0,0,0,1,6,6,6,17,36,33,9,2,1
2019,Mehed vanuses 65-69,0,0,1,0,0,3,3,4,10,15,20,6,1
2019,Mehed vanuses 70-74,0,0,0,0,0,1,2,1,2,8,3,8,2
2019,Mehed vanuses 75 ja enam,0,0,0,0,0,0,2,2,1,0,2,5,14
