"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2017","Total","Total",6447,284,318,370,352,473,625,1266,1022,623,410,325,379
"2017","Total","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","Total","Place of residence outside of Estonia",404,25,26,26,22,37,27,52,58,37,33,24,37
"2017","Total","Place of residence in Estonia",6043,259,292,344,330,436,598,1214,964,586,377,301,342
"2017","Total","Harju county",3176,138,169,196,186,235,328,586,529,319,193,139,158
"2017","Total","..Tallinn",2409,111,131,154,152,174,250,423,405,244,144,109,112
"2017","Total","Hiiu county",29,1,1,0,0,4,2,6,6,6,2,0,1
"2017","Total","Ida-Viru county",677,25,34,32,50,34,63,132,84,65,54,55,49
"2017","Total","Jõgeva county",92,3,6,3,2,2,15,22,15,6,7,9,2
"2017","Total","Järva county",97,4,5,7,3,7,9,16,16,10,6,6,8
"2017","Total","Lääne county",80,3,7,2,5,6,7,17,15,7,4,3,4
"2017","Total","Lääne-Viru county",203,8,11,6,8,17,20,56,26,11,13,13,14
"2017","Total","Põlva county",79,3,1,7,5,2,3,17,12,6,5,5,13
"2017","Total","Pärnu county",301,12,9,20,11,23,25,71,57,21,18,16,18
"2017","Total","Rapla county",147,9,4,7,5,13,5,33,22,16,14,11,8
"2017","Total","Saare county",131,8,7,5,6,11,11,34,20,10,8,5,6
"2017","Total","Tartu county",668,26,29,35,36,51,74,147,114,78,33,21,24
"2017","Total","Valga county",100,4,3,6,5,13,12,13,14,10,3,7,10
"2017","Total","Viljandi county",139,12,5,9,1,10,11,32,17,11,10,9,12
"2017","Total","Võru county",122,3,1,9,6,8,13,32,17,9,7,2,15
"2017","Total","Place of residence in Estonia unknown",2,0,0,0,1,0,0,0,0,1,0,0,0
"2017","City and town settlement region","Total",4493,190,230,267,267,320,440,860,723,460,276,226,234
"2017","City and town settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","City and town settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","City and town settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","City and town settlement region","Harju county",2855,127,155,185,173,210,289,517,479,287,173,124,136
"2017","City and town settlement region","..Tallinn",2409,111,131,154,152,174,250,423,405,244,144,109,112
"2017","City and town settlement region","Hiiu county",0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","City and town settlement region","Ida-Viru county",582,23,30,29,44,27,53,105,73,62,45,49,42
"2017","City and town settlement region","Jõgeva county",17,0,0,1,1,1,1,7,3,0,2,1,0
"2017","City and town settlement region","Järva county",45,1,3,3,2,5,5,7,6,3,3,5,2
"2017","City and town settlement region","Lääne county",30,1,2,0,1,3,3,7,4,4,2,2,1
"2017","City and town settlement region","Lääne-Viru county",76,2,6,1,3,7,6,18,12,6,6,3,6
"2017","City and town settlement region","Põlva county",18,0,0,0,1,0,0,4,6,0,1,2,4
"2017","City and town settlement region","Pärnu county",187,8,6,12,7,15,13,44,34,17,11,10,10
"2017","City and town settlement region","Rapla county",24,0,0,1,0,3,0,4,6,2,3,4,1
"2017","City and town settlement region","Saare county",44,1,4,0,2,2,2,12,6,7,2,3,3
"2017","City and town settlement region","Tartu county",475,20,22,27,24,32,56,106,75,61,22,13,17
"2017","City and town settlement region","Valga county",40,2,0,2,4,7,3,5,9,3,1,3,1
"2017","City and town settlement region","Viljandi county",52,3,1,3,1,6,3,16,3,5,1,5,5
"2017","City and town settlement region","Võru county",48,2,1,3,4,2,6,8,7,3,4,2,6
"2017","City and town settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Rural settlement region","Total",1548,69,62,77,62,116,158,354,241,125,101,75,108
"2017","Rural settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Rural settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Rural settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Rural settlement region","Harju county",321,11,14,11,13,25,39,69,50,32,20,15,22
"2017","Rural settlement region","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Rural settlement region","Hiiu county",29,1,1,0,0,4,2,6,6,6,2,0,1
"2017","Rural settlement region","Ida-Viru county",95,2,4,3,6,7,10,27,11,3,9,6,7
"2017","Rural settlement region","Jõgeva county",75,3,6,2,1,1,14,15,12,6,5,8,2
"2017","Rural settlement region","Järva county",52,3,2,4,1,2,4,9,10,7,3,1,6
"2017","Rural settlement region","Lääne county",50,2,5,2,4,3,4,10,11,3,2,1,3
