"RV272U: ABIELLUJAD | Aasta, Sugu, Asustuspiirkonna liik, Elukoht ning Vanuserühm"

"Aasta","Sugu","Asustuspiirkonna liik","Elukoht","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 ja vanemad"
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",10,188,700,767,477,267,171,111,74,50,22,8,10
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",10,174,610,655,386,211,134,94,60,42,17,7,9
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",4,61,141,131,72,56,43,23,31,11,4,2,3
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,0,3,3,4,2,2,1,1,0,0,0,1
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",0,6,12,10,5,4,4,1,1,1,1,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,1,6,9,3,1,3,1,4,1,1,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",0,0,21,7,15,8,12,6,4,1,1,0,1
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,3,6,1,3,1,0,0,1,0,1,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",0,12,49,46,33,21,11,10,4,1,0,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,3,4,3,6,3,3,1,0,0,0,0,1
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,1,12,9,9,6,3,2,0,1,1,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",1,36,126,122,80,35,30,19,13,4,7,1,1
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",0,10,8,7,3,7,2,1,0,0,0,0,2
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,3,5,12,11,5,8,2,4,1,1,0,0
"2017","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,2,10,15,6,7,2,0,2,3,0,0,1
"2017","Mehed","Maaline asustuspiirkond","Harju maakond",0,16,57,68,64,50,26,21,7,8,3,0,1
"2017","Mehed","Maaline asustuspiirkond","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Mehed","Maaline asustuspiirkond","Hiiu maakond",0,2,7,8,2,3,5,1,0,0,1,0,0
"2017","Mehed","Maaline asustuspiirkond","Ida-Viru maakond",0,9,17,22,18,14,4,1,4,3,3,0,0
"2017","Mehed","Maaline asustuspiirkond","Jõgeva maakond",2,10,22,16,9,3,6,1,6,0,0,0,0
"2017","Mehed","Maaline asustuspiirkond","Järva maakond",0,4,7,13,7,8,7,5,1,0,0,0,0
"2017","Mehed","Maaline asustuspiirkond","Lääne maakond",0,3,10,12,6,7,8,1,3,0,0,0,0
"2017","Mehed","Maaline asustuspiirkond","Lääne-Viru maakond",0,9,20,30,23,15,12,5,8,2,3,0,0
"2017","Mehed","Maaline asustuspiirkond","Põlva maakond",1,2,14,12,12,7,4,6,1,0,2,0,0
"2017","Mehed","Maaline asustuspiirkond","Pärnu maakond",0,7,24,29,19,9,11,6,2,3,0,1,3
"2017","Mehed","Maaline asustuspiirkond","Rapla maakond",0,8,25,25,17,24,14,4,5,0,0,0,1
"2017","Mehed","Maaline asustuspiirkond","Saare maakond",0,4,22,20,14,10,5,5,4,3,0,0,0
"2017","Mehed","Maaline asustuspiirkond","Tartu maakond",2,6,39,49,31,23,14,15,6,5,0,1,2
"2017","Mehed","Maaline asustuspiirkond","Valga maakond",0,6,10,16,8,6,6,2,5,0,1,0,0
"2017","Mehed","Maaline asustuspiirkond","Viljandi maakond",0,3,28,21,13,9,2,4,4,2,1,0,0
"2017","Mehed","Maaline asustuspiirkond","Võru maakond",0,4,14,26,9,9,4,5,2,0,0,1,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",44,394,965,759,435,222,140,76,34,29,11,2,6
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",39,357,835,643,352,191,117,63,31,24,10,2,6
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",16,110,158,100,68,52,23,23,19,8,3,1,1
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,3,3,4,1,2,1,1,1,0,0,1,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",2,4,16,5,5,5,3,3,1,0,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,3,15,6,2,3,3,3,2,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",0,12,17,18,13,16,5,4,4,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,4,6,2,0,1,0,0,1,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",2,30,58,38,21,10,15,5,4,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,1,6,3,7,2,1,0,1,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,3,15,13,7,3,1,4,3,1,0,1,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",3,64,176,117,63,43,22,20,8,3,2,1,1
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",5,8,10,5,11,6,5,2,0,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,4,12,15,14,3,3,2,1,1,0,0,0
"2017","Naised","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,7,14,7,5,2,2,0,5,1,0,0,0
"2017","Naised","Maaline asustuspiirkond","Harju maakond",4,22,74,64,61,23,18,7,5,1,1,0,1
"2017","Naised","Maaline asustuspiirkond","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Naised","Maaline asustuspiirkond","Hiiu maakond",0,2,12,6,6,1,1,1,0,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Ida-Viru maakond",1,14,19,15,15,5,7,3,2,3,0,0,0
"2017","Naised","Maaline asustuspiirkond","Jõgeva maakond",3,11,13,15,4,7,3,2,1,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Järva maakond",0,8,12,13,8,1,2,5,0,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Lääne maakond",3,3,9,5,3,7,3,2,2,0,0,0,1
"2017","Naised","Maaline asustuspiirkond","Lääne-Viru maakond",0,11,30,14,16,5,8,5,5,2,3,0,0
"2017","Naised","Maaline asustuspiirkond","Põlva maakond",3,6,16,12,6,6,6,1,3,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Pärnu maakond",5,11,29,17,16,7,7,5,3,0,3,0,2
"2017","Naised","Maaline asustuspiirkond","Rapla maakond",3,10,23,24,13,12,8,0,2,3,0,0,1
"2017","Naised","Maaline asustuspiirkond","Saare maakond",0,8,21,13,2,3,4,6,1,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Tartu maakond",2,14,50,30,20,16,7,9,2,1,1,2,1
"2017","Naised","Maaline asustuspiirkond","Valga maakond",2,8,9,9,9,4,1,3,2,0,0,0,0
"2017","Naised","Maaline asustuspiirkond","Viljandi maakond",0,12,16,15,12,7,4,4,2,1,0,0,0
"2017","Naised","Maaline asustuspiirkond","Võru maakond",1,3,21,8,3,5,3,5,2,1,0,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",9,185,626,821,457,298,174,108,81,49,22,15,8
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",9,155,548,682,377,252,139,90,68,38,19,13,8
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",6,57,124,136,77,60,40,23,17,8,7,1,2
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,2,7,2,2,1,2,2,1,0,1,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",0,1,13,12,5,2,4,2,2,2,0,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,0,6,9,3,4,3,1,2,0,1,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",1,5,13,14,15,5,6,3,3,3,0,1,1
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,6,4,5,5,0,0,1,0,0,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",0,10,44,48,32,19,12,10,5,6,1,1,2
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,1,4,11,5,1,2,1,0,0,0,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,1,15,16,8,4,1,1,0,0,0,0,1
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",1,23,135,122,78,43,28,10,6,7,6,3,1
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",0,2,12,10,4,2,5,0,2,2,1,0,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",2,2,13,9,8,4,6,0,0,0,1,1,0
"2018","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,4,13,12,6,6,5,1,1,0,0,1,0
"2018","Mehed","Maaline asustuspiirkond","Harju maakond",0,20,63,81,49,47,24,18,10,1,0,1,3
"2018","Mehed","Maaline asustuspiirkond","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2018","Mehed","Maaline asustuspiirkond","Hiiu maakond",0,2,8,9,6,5,4,2,0,0,0,1,2
"2018","Mehed","Maaline asustuspiirkond","Ida-Viru maakond",0,13,18,24,7,12,9,8,5,5,1,1,0
"2018","Mehed","Maaline asustuspiirkond","Jõgeva maakond",1,6,30,18,10,7,9,6,3,1,0,1,0
"2018","Mehed","Maaline asustuspiirkond","Järva maakond",0,2,18,13,16,2,7,7,2,1,0,0,0
"2018","Mehed","Maaline asustuspiirkond","Lääne maakond",0,2,9,7,5,4,5,3,2,1,0,0,0
"2018","Mehed","Maaline asustuspiirkond","Lääne-Viru maakond",0,9,28,40,26,24,10,7,7,3,0,1,0
"2018","Mehed","Maaline asustuspiirkond","Põlva maakond",0,2,11,16,11,4,5,3,3,4,2,0,0
"2018","Mehed","Maaline asustuspiirkond","Pärnu maakond",1,4,36,32,24,15,13,13,9,3,0,0,1
"2018","Mehed","Maaline asustuspiirkond","Rapla maakond",1,12,20,15,25,15,10,7,1,3,1,0,0
"2018","Mehed","Maaline asustuspiirkond","Saare maakond",0,2,24,18,15,13,7,4,3,4,1,0,0
"2018","Mehed","Maaline asustuspiirkond","Tartu maakond",1,14,52,44,27,17,15,16,5,6,2,1,1
"2018","Mehed","Maaline asustuspiirkond","Valga maakond",0,2,14,13,2,2,9,6,2,1,2,0,0
"2018","Mehed","Maaline asustuspiirkond","Viljandi maakond",0,5,15,23,13,4,10,3,3,0,1,0,0
"2018","Mehed","Maaline asustuspiirkond","Võru maakond",0,8,22,21,9,9,2,5,1,0,1,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",30,375,890,755,430,247,147,84,50,25,17,6,6
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",25,337,776,643,356,204,122,71,42,22,16,6,6
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",30,110,137,98,65,50,39,17,17,3,3,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",1,0,5,1,7,2,1,2,1,0,1,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",1,4,8,8,6,5,1,1,2,0,1,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",0,3,7,8,6,4,2,2,2,0,0,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",3,13,16,18,10,9,6,1,0,3,0,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,2,8,3,0,2,0,1,0,0,0,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",3,23,48,46,28,16,11,7,8,1,1,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,3,9,6,3,0,2,1,1,0,0,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,5,18,11,3,2,1,1,1,1,0,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",3,52,168,131,71,48,21,11,6,6,3,1,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",1,10,12,12,4,3,4,5,3,1,1,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",2,7,9,8,8,11,5,2,3,1,0,0,0
"2018","Naised","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",1,9,20,7,2,4,3,2,1,0,0,1,0
"2018","Naised","Maaline asustuspiirkond","Harju maakond",8,27,73,70,50,24,16,12,5,0,2,0,0
"2018","Naised","Maaline asustuspiirkond","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Naised","Maaline asustuspiirkond","Hiiu maakond",0,1,8,2,3,1,4,0,0,1,1,0,1
"2018","Naised","Maaline asustuspiirkond","Ida-Viru maakond",3,13,19,17,10,11,13,3,0,3,0,0,0
"2018","Naised","Maaline asustuspiirkond","Jõgeva maakond",2,9,23,12,5,5,6,6,2,1,0,0,0
"2018","Naised","Maaline asustuspiirkond","Järva maakond",0,7,14,10,10,6,3,5,1,2,0,0,0
"2018","Naised","Maaline asustuspiirkond","Lääne maakond",1,5,4,4,5,3,3,1,0,0,0,0,0
"2018","Naised","Maaline asustuspiirkond","Lääne-Viru maakond",2,14,36,29,16,10,6,12,3,1,0,0,0
"2018","Naised","Maaline asustuspiirkond","Põlva maakond",2,6,11,9,8,2,4,3,4,1,0,0,0
"2018","Naised","Maaline asustuspiirkond","Pärnu maakond",2,16,33,19,10,15,9,7,2,1,0,0,1
"2018","Naised","Maaline asustuspiirkond","Rapla maakond",2,5,13,18,15,10,12,6,1,1,1,0,0
"2018","Naised","Maaline asustuspiirkond","Saare maakond",0,6,19,11,9,8,6,3,1,0,2,0,0
"2018","Naised","Maaline asustuspiirkond","Tartu maakond",3,25,41,29,30,15,7,5,4,1,0,1,0
"2018","Naised","Maaline asustuspiirkond","Valga maakond",1,8,14,6,7,3,4,0,1,1,0,0,0
"2018","Naised","Maaline asustuspiirkond","Viljandi maakond",2,9,23,17,7,5,7,2,4,0,0,0,0
"2018","Naised","Maaline asustuspiirkond","Võru maakond",0,12,18,11,7,2,6,2,3,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",10,171,629,806,570,314,185,125,74,50,24,13,8
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",5,155,554,681,458,244,151,98,63,45,21,9,8
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",7,71,93,130,71,62,31,32,36,15,9,3,4
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",0,3,4,2,3,0,2,1,0,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",0,0,9,9,5,6,7,4,2,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",1,1,7,7,7,5,2,1,0,3,2,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",0,6,16,17,13,9,5,8,2,2,2,0,1
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",0,1,4,7,3,0,2,0,0,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",0,15,29,25,27,21,17,8,6,2,0,0,1
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",0,3,2,6,7,1,2,0,0,0,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",0,0,12,15,5,2,1,0,1,3,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",0,29,101,101,62,46,40,17,8,9,3,2,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",0,0,9,10,5,5,5,4,4,0,1,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",0,1,10,14,16,7,3,5,1,1,0,0,0
"2019","Mehed","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",0,3,6,12,6,4,0,2,0,1,2,0,0
"2019","Mehed","Maaline asustuspiirkond","Harju maakond",0,16,63,73,75,48,39,17,16,14,1,1,1
"2019","Mehed","Maaline asustuspiirkond","..Tallinn",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Hiiu maakond",0,0,10,8,10,5,5,2,3,1,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Ida-Viru maakond",0,11,19,28,17,10,16,8,5,4,1,1,0
"2019","Mehed","Maaline asustuspiirkond","Jõgeva maakond",1,2,19,24,14,11,6,3,6,2,1,0,0
"2019","Mehed","Maaline asustuspiirkond","Järva maakond",1,4,14,12,6,7,2,4,2,1,1,0,0
"2019","Mehed","Maaline asustuspiirkond","Lääne maakond",0,4,12,8,8,4,6,1,2,0,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Lääne-Viru maakond",1,9,34,23,23,17,11,9,7,4,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Põlva maakond",0,3,16,21,10,8,13,5,6,0,0,0,0
"2019","Mehed","Maaline asustuspiirkond","Pärnu maakond",2,4,29,44,22,17,13,8,5,3,1,1,1
