"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2017","Kokku","Kokku",3323,240,259,303,250,320,247,242,274,292,289,309,298
"2017","Kokku","Elukoht Eestis",3147,227,244,284,236,307,233,229,261,276,270,293,287
"2017","Kokku","Harju maakond",1569,104,117,144,112,157,118,113,139,133,128,155,149
"2017","Kokku","..Tallinn",1145,75,84,101,81,110,82,75,102,104,94,120,117
"2017","Kokku","Hiiu maakond",22,1,2,0,3,2,0,1,4,2,3,3,1
"2017","Kokku","Ida-Viru maakond",416,41,32,33,26,39,33,25,30,41,42,37,37
"2017","Kokku","Jõgeva maakond",51,1,6,6,2,4,5,2,4,9,5,2,5
"2017","Kokku","Järva maakond",48,1,2,7,7,4,7,5,0,3,8,2,2
"2017","Kokku","Lääne maakond",39,4,5,4,3,2,2,1,3,3,3,4,5
"2017","Kokku","Lääne-Viru maakond",135,10,13,10,8,10,10,14,7,14,15,11,13
"2017","Kokku","Põlva maakond",43,2,6,4,3,5,2,1,4,2,4,6,4
"2017","Kokku","Pärnu maakond",169,9,13,14,14,18,13,14,11,16,11,19,17
"2017","Kokku","Rapla maakond",65,7,4,6,7,2,2,11,4,7,5,5,5
"2017","Kokku","Saare maakond",66,3,5,5,3,10,4,6,8,5,7,6,4
"2017","Kokku","Tartu maakond",328,28,25,34,27,37,17,25,25,24,27,29,30
"2017","Kokku","Valga maakond",57,5,4,6,6,8,4,1,6,4,4,5,4
"2017","Kokku","Viljandi maakond",81,6,5,6,11,6,10,5,11,5,5,6,5
"2017","Kokku","Võru maakond",57,5,4,5,4,3,6,5,5,8,3,3,6
"2017","Kokku","Elukoht Eestis teadmata",1,0,1,0,0,0,0,0,0,0,0,0,0
"2017","Linnaline ja väikelinnaline asustuspiirkond","Kokku",2283,161,177,211,169,221,166,159,192,202,184,223,218
"2017","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",1398,90,106,128,100,136,104,103,123,120,107,146,135
"2017","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",1145,75,84,101,81,110,82,75,102,104,94,120,117
"2017","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",352,35,27,29,21,32,30,21,26,34,35,35,27
"2017","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",6,0,2,3,0,0,0,0,0,0,0,0,1
"2017","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",22,0,1,3,4,1,3,2,0,2,4,1,1
"2017","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",24,4,2,2,3,1,2,1,0,1,3,2,3
"2017","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",44,2,3,4,3,5,2,4,3,6,5,2,5
"2017","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",10,1,0,0,0,2,2,0,2,1,1,1,0
"2017","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",99,5,7,8,9,10,6,7,5,10,6,13,13
"2017","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",7,0,0,0,1,0,0,1,2,2,0,1,0
