Asustuspiirkonna liik,Lahutamiskuu,2017,2018,2019,2020,2021
Kokku,Kuud kokku,3323,3199,2790,2555,2554
Kokku,Jaanuar,240,242,225,204,113
Kokku,Veebruar,259,237,217,199,133
Kokku,Märts,303,259,250,195,141
Kokku,Aprill,250,247,206,104,154
Kokku,Mai,320,267,240,119,174
Kokku,Juuni,247,274,206,203,246
Kokku,Juuli,242,265,235,280,404
Kokku,August,274,244,240,248,376
Kokku,September,292,283,247,280,221
Kokku,Oktoober,289,312,268,241,187
Kokku,November,309,282,222,244,175
Kokku,Detsember,298,287,234,238,195
