Aasta,Esmasabielu lahutanud Mehed,Esmasabielu lahutanud Naised,Korduvabielu lahutanud Mehed,Korduvabielu lahutanud Naised
1970,3866,3812,512,567
1971,3799,3779,555,575
1972,4011,3964,621,668
1973,3948,3975,606,579
1974,4161,4145,579,595
1975,4229,4205,616,640
1976,4497,4521,707,683
1977,4856,4845,801,812
1978,4805,4824,781,763
1979,5109,5094,865,879
1980,5227,5249,900,878
1981,5146,5144,891,893
1982,4994,4982,905,919
1983,5054,5160,998,992
1984,4310,4749,912,949
1985,4447,4728,1029,1037
1986,4829,4907,1059,1094
1987,4961,4915,1096,1184
1988,3933,4175,1031,1117
1989,3599,3964,965,1084
1990,3641,3970,912,1034
1991,3592,3950,961,1082
1992,4518,4927,1136,1206
1993,3689,4180,912,1074
1994,4294,4360,1025,1103
1995,6145,6173,1218,1209
1996,4653,4583,974,1050
1997,4365,4317,910,958
1998,3654,3704,835,785
1999,3753,3742,808,819
2000,3424,3440,806,789
2001,3393,3467,918,845
2002,3267,3225,798,829
2003,3156,3201,781,744
2004,3325,3375,820,773
2005,3207,3272,837,775
2006,3030,3030,772,772
2007,2973,3039,815,758
2008,2745,2749,745,742
2009,2471,2467,703,708
2010,2271,2337,708,646
2011,2363,2401,714,683
2012,2406,2446,722,684
2013,2577,2600,745,733
2014,2438,2492,732,701
2015,2614,2589,697,758
2016,2294,2333,699,682
2017,2081,2208,656,680
2018,1791,1816,629,672
2019,1865,1848,622,663
2020,1900,1883,546,571
2021,1846,1856,573,571
