"RV331U: LAHUTANUD. EESTLASED | Aasta, Sugu ning Abielu kestus"

"Aasta","Sugu","Alla 1 aasta","1 aasta","2 aastat","3 aastat","4 aastat","5 aastat","6 aastat","7 aastat","8 aastat","9 aastat"
"2017","Mehed",48,90,118,95,91,97,81,69,74,64
"2017","Naised",43,88,115,88,88,91,83,75,71,68
"2018","Mehed",36,76,78,106,99,79,68,48,65,47
"2018","Naised",29,73,89,102,97,77,62,48,64,50
"2019","Mehed",27,88,87,90,81,79,73,73,54,51
"2019","Naised",28,84,86,88,85,80,70,69,52,47
"2020","Mehed",29,80,101,73,86,71,76,82,53,49
"2020","Naised",32,73,89,71,80,76,70,79,51,48
"2021","Mehed",40,68,96,92,103,65,76,71,78,58
"2021","Naised",39,62,96,94,100,66,75,73,75,60
