Aasta,Sugu,Elukoht,Vanuserühm,Kokku,Alla 1 aasta,1 aasta,2 aastat,3 aastat,4 aastat,5 aastat,6 aastat,7 aastat,8 aastat,9 aastat,10-14 aastat,15-19 aastat,20 ja enam aastat,Abielu kestus teadmata
2017,Mehed,Kokku,Vanuserühmad kokku,3323,94,193,226,214,169,187,168,142,128,127,510,308,833,24
2017,Mehed,Kokku,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Kokku,20-24,45,7,17,11,8,2,0,0,0,0,0,0,0,0,0
2017,Mehed,Kokku,25-29,283,20,52,51,55,40,26,17,3,6,5,5,0,0,3
2017,Mehed,Kokku,30-34,506,25,44,62,64,46,57,49,47,32,20,57,0,0,3
2017,Mehed,Kokku,35-39,526,21,27,38,29,28,48,48,38,34,34,139,39,0,3
2017,Mehed,Kokku,40-44,515,12,15,34,16,22,21,21,21,27,31,132,103,59,1
2017,Mehed,Kokku,45-49,518,4,16,14,16,17,14,17,14,16,15,94,92,188,1
2017,Mehed,Kokku,50-54,331,3,10,6,6,6,6,5,7,6,12,38,28,195,3
2017,Mehed,Kokku,55-59,284,1,4,1,4,1,7,5,6,5,6,22,26,194,2
2017,Mehed,Kokku,60-64,148,0,2,2,5,7,2,2,2,1,2,13,8,101,1
2017,Mehed,Kokku,65-69,78,1,2,0,3,0,2,0,0,0,0,4,5,60,1
2017,Mehed,Kokku,70-74,34,0,0,1,0,0,0,1,0,0,2,3,5,22,0
2017,Mehed,Kokku,75 ja vanemad,19,0,0,0,0,0,0,1,1,0,0,1,2,13,1
2017,Mehed,Kokku,Vanus teadmata,36,0,4,6,8,0,4,2,3,1,0,2,0,1,5
2017,Mehed,Elukoht teadmata,Vanuserühmad kokku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,45-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,50-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,55-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,60-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,75 ja vanemad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht teadmata,Vanus teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,Vanuserühmad kokku,176,5,5,12,15,6,12,10,11,3,9,21,19,34,14
2017,Mehed,Elukoht väljaspool Eestit,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,25-29,9,0,1,0,1,3,0,0,0,0,2,0,0,0,2
