Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2017,Kokku,Kokku,3323,1503,998,668,124,25,5,0
2017,Kokku,Elukoht teadmata,0,0,0,0,0,0,0,0
2017,Kokku,Elukoht väljaspool Eestit,176,113,33,24,5,0,1,0
2017,Kokku,Elukoht Eestis,3147,1390,965,644,119,25,4,0
2017,Kokku,Harju maakond,1569,682,494,326,58,9,0,0
2017,Kokku,Tallinn,1145,529,369,208,33,6,0,0
2017,Kokku,Hiiu maakond,22,11,7,3,0,1,0,0
2017,Kokku,Ida-Viru maakond,416,163,162,79,9,3,0,0
2017,Kokku,Jõgeva maakond,51,23,20,6,2,0,0,0
2017,Kokku,Järva maakond,48,25,10,8,5,0,0,0
2017,Kokku,Lääne maakond,39,18,10,8,3,0,0,0
2017,Kokku,Lääne-Viru maakond,135,57,44,24,8,2,0,0
2017,Kokku,Põlva maakond,43,21,11,8,2,1,0,0
2017,Kokku,Pärnu maakond,169,82,43,36,6,1,1,0
2017,Kokku,Rapla maakond,65,24,22,18,0,1,0,0
2017,Kokku,Saare maakond,66,28,17,17,4,0,0,0
2017,Kokku,Tartu maakond,328,148,89,69,17,5,0,0
2017,Kokku,Valga maakond,57,32,10,13,1,0,1,0
2017,Kokku,Viljandi maakond,81,43,18,14,4,2,0,0
2017,Kokku,Võru maakond,57,32,8,15,0,0,2,0
2017,Kokku,Elukoht Eestis teadmata,1,1,0,0,0,0,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Kokku,2283,999,738,457,76,13,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1398,616,458,273,44,7,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Tallinn,1145,529,369,208,33,6,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,352,135,140,66,8,3,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,6,3,3,0,0,0,0,0
2017,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,22,11,7,3,1,0,0,0
