Aasta,Sugu,Elukoht,Vanuserühm,Kokku,Töötav,Töötu,Pensionär,(Üli)õpilane,Töövõimetu*,Kodune,Kinnipeetav*,Ajateenija,Lapsehoolduspuhkusel*,Muu mittetöötav*,Sotsiaal-majanduslik seisund teadmata
2017,Mehed,Kokku,Vanuserühmad kokku,3323,307,102,100,5,..,11,..,0,2,23,2773
2017,Mehed,Kokku,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Kokku,20-24,45,12,2,1,2,..,0,..,0,0,1,27
2017,Mehed,Kokku,25-29,283,41,13,2,0,..,3,..,0,0,0,224
2017,Mehed,Kokku,30-34,506,50,17,2,2,..,2,..,0,0,5,428
2017,Mehed,Kokku,35-39,526,40,17,0,1,..,3,..,0,0,2,463
2017,Mehed,Kokku,40-44,515,37,14,2,0,..,2,..,0,1,1,458
2017,Mehed,Kokku,45-49,518,41,17,7,0,..,0,..,0,1,4,448
2017,Mehed,Kokku,50-54,331,39,9,4,0,..,0,..,0,0,6,273
2017,Mehed,Kokku,55-59,284,31,12,16,0,..,0,..,0,0,3,222
2017,Mehed,Kokku,60-64,148,7,1,29,0,..,0,..,0,0,1,110
2017,Mehed,Kokku,65-69,78,8,0,21,0,..,1,..,0,0,0,48
2017,Mehed,Kokku,70-74,34,1,0,7,0,..,0,..,0,0,0,26
2017,Mehed,Kokku,75 ja vanemad,19,0,0,9,0,..,0,..,0,0,0,10
2017,Mehed,Kokku,Vanus teadmata,36,0,0,0,0,..,0,..,0,0,0,36
2017,Mehed,Elukoht teadmata,Vanuserühmad kokku,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,25-29,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,30-34,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,35-39,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,40-44,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,45-49,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,50-54,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,55-59,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,60-64,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,65-69,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,70-74,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht teadmata,Vanus teadmata,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,Vanuserühmad kokku,176,6,2,0,0,..,0,..,0,0,1,167
2017,Mehed,Elukoht väljaspool Eestit,15-19,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,20-24,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,25-29,9,1,0,0,0,..,0,..,0,0,0,8
2017,Mehed,Elukoht väljaspool Eestit,30-34,18,0,0,0,0,..,0,..,0,0,1,17
2017,Mehed,Elukoht väljaspool Eestit,35-39,30,1,0,0,0,..,0,..,0,0,0,29
2017,Mehed,Elukoht väljaspool Eestit,40-44,21,1,0,0,0,..,0,..,0,0,0,20
2017,Mehed,Elukoht väljaspool Eestit,45-49,22,1,1,0,0,..,0,..,0,0,0,20
2017,Mehed,Elukoht väljaspool Eestit,50-54,14,1,0,0,0,..,0,..,0,0,0,13
2017,Mehed,Elukoht väljaspool Eestit,55-59,14,1,1,0,0,..,0,..,0,0,0,12
2017,Mehed,Elukoht väljaspool Eestit,60-64,10,0,0,0,0,..,0,..,0,0,0,10
2017,Mehed,Elukoht väljaspool Eestit,65-69,1,0,0,0,0,..,0,..,0,0,0,1
2017,Mehed,Elukoht väljaspool Eestit,70-74,1,0,0,0,0,..,0,..,0,0,0,1
2017,Mehed,Elukoht väljaspool Eestit,75 ja vanemad,0,0,0,0,0,..,0,..,0,0,0,0
2017,Mehed,Elukoht väljaspool Eestit,Vanus teadmata,36,0,0,0,0,..,0,..,0,0,0,36
