,Aasta,Sugu,Alla 1 aasta,1 aasta,2 aastat,3 aastat,4 aastat,5 aastat,6 aastat,7 aastat,8 aastat,9 aastat
0,1994,Mehed,28,70,135,129,173,158,164,114,117,107
1,1994,Naised,27,75,141,139,176,162,172,120,110,113
2,1995,Mehed,47,119,148,200,266,260,251,244,214,149
3,1995,Naised,48,117,159,195,261,262,247,248,213,149
4,1996,Mehed,37,81,120,154,200,207,214,220,183,146
5,1996,Naised,37,79,124,158,199,198,226,225,181,150
6,1997,Mehed,38,89,124,152,138,159,184,204,204,162
7,1997,Naised,33,86,121,163,146,168,190,191,204,162
8,1998,Mehed,37,70,97,108,130,112,123,164,149,131
9,1998,Naised,38,72,94,119,130,117,130,170,149,134
10,1999,Mehed,36,83,102,105,114,113,121,117,124,157
11,1999,Naised,31,77,101,110,113,118,124,124,120,148
12,2000,Mehed,50,63,94,68,98,113,104,106,110,126
13,2000,Naised,51,71,91,71,92,115,115,114,112,129
14,2001,Mehed,36,78,105,107,107,97,114,94,92,105
15,2001,Naised,38,75,99,99,105,99,116,94,87,109
16,2002,Mehed,44,89,91,91,105,96,86,116,90,95
17,2002,Naised,45,74,84,91,104,92,85,117,87,94
18,2003,Mehed,29,73,93,116,87,83,89,89,84,82
19,2003,Naised,28,69,92,107,82,80,92,86,86,86
20,2004,Mehed,44,86,108,119,105,90,89,58,89,83
21,2004,Naised,46,80,103,127,107,93,88,63,81,83
22,2005,Mehed,31,95,122,119,126,101,76,85,85,71
23,2005,Naised,33,94,122,111,121,98,79,84,74,74
24,2006,Mehed,29,86,117,107,133,100,95,79,71,60
25,2006,Naised,24,87,101,102,125,96,83,73,72,56
26,2007,Mehed,36,106,118,112,120,97,85,70,57,65
27,2007,Naised,32,112,124,113,126,90,76,71,58,64
28,2008,Mehed,32,93,98,114,87,101,85,62,73,68
29,2008,Naised,29,86,103,112,93,99,76,63,73,62
30,2009,Mehed,34,73,127,105,92,94,65,67,72,69
31,2009,Naised,28,76,123,103,83,87,67,72,71,65
32,2010,Mehed,22,72,102,113,99,93,83,81,63,59
33,2010,Naised,19,66,99,116,99,97,79,88,64,52
34,2011,Mehed,29,62,101,100,120,106,80,72,73,64
35,2011,Naised,28,59,96,100,117,100,71,81,68,65
36,2012,Mehed,34,67,66,96,121,96,89,81,83,67
37,2012,Naised,31,73,67,92,117,101,88,81,78,71
38,2013,Mehed,38,90,81,109,104,107,99,85,77,77
39,2013,Naised,43,93,88,105,104,102,95,80,79,80
40,2014,Mehed,28,76,87,94,92,83,90,92,59,57
41,2014,Naised,28,86,87,100,97,78,91,93,62,55
42,2015,Mehed,51,96,104,115,89,71,78,100,79,80
43,2015,Naised,57,93,106,117,91,73,75,104,84,74
44,2016,Mehed,32,87,87,91,91,72,76,90,92,87
45,2016,Naised,29,86,91,98,88,76,85,96,86,92
46,1994,Mehed,28,70,135,129,173,158,164,114,117,107
47,1994,Naised,27,75,141,139,176,162,172,120,110,113
48,1995,Mehed,47,119,148,200,266,260,251,244,214,149
49,1995,Naised,48,117,159,195,261,262,247,248,213,149
50,1996,Mehed,37,81,120,154,200,207,214,220,183,146
51,1996,Naised,37,79,124,158,199,198,226,225,181,150
52,1997,Mehed,38,89,124,152,138,159,184,204,204,162
53,1997,Naised,33,86,121,163,146,168,190,191,204,162
54,1998,Mehed,37,70,97,108,130,112,123,164,149,131
55,1998,Naised,38,72,94,119,130,117,130,170,149,134
56,1999,Mehed,36,83,102,105,114,113,121,117,124,157
57,1999,Naised,31,77,101,110,113,118,124,124,120,148
58,2000,Mehed,50,63,94,68,98,113,104,106,110,126
59,2000,Naised,51,71,91,71,92,115,115,114,112,129
60,2001,Mehed,36,78,105,107,107,97,114,94,92,105
61,2001,Naised,38,75,99,99,105,99,116,94,87,109
62,2002,Mehed,44,89,91,91,105,96,86,116,90,95
63,2002,Naised,45,74,84,91,104,92,85,117,87,94
64,2003,Mehed,29,73,93,116,87,83,89,89,84,82
65,2003,Naised,28,69,92,107,82,80,92,86,86,86
66,2004,Mehed,44,86,108,119,105,90,89,58,89,83
67,2004,Naised,46,80,103,127,107,93,88,63,81,83
68,2005,Mehed,31,95,122,119,126,101,76,85,85,71
69,2005,Naised,33,94,122,111,121,98,79,84,74,74
70,2006,Mehed,29,86,117,107,133,100,95,79,71,60
71,2006,Naised,24,87,101,102,125,96,83,73,72,56
72,2007,Mehed,36,106,118,112,120,97,85,70,57,65
73,2007,Naised,32,112,124,113,126,90,76,71,58,64
74,2008,Mehed,32,93,98,114,87,101,85,62,73,68
75,2008,Naised,29,86,103,112,93,99,76,63,73,62
76,2009,Mehed,34,73,127,105,92,94,65,67,72,69
77,2009,Naised,28,76,123,103,83,87,67,72,71,65
78,2010,Mehed,22,72,102,113,99,93,83,81,63,59
79,2010,Naised,19,66,99,116,99,97,79,88,64,52
80,2011,Mehed,29,62,101,100,120,106,80,72,73,64
81,2011,Naised,28,59,96,100,117,100,71,81,68,65
82,2012,Mehed,34,67,66,96,121,96,89,81,83,67
83,2012,Naised,31,73,67,92,117,101,88,81,78,71
84,2013,Mehed,38,90,81,109,104,107,99,85,77,77
85,2013,Naised,43,93,88,105,104,102,95,80,79,80
86,2014,Mehed,28,76,87,94,92,83,90,92,59,57
87,2014,Naised,28,86,87,100,97,78,91,93,62,55
88,2015,Mehed,51,96,104,115,89,71,78,100,79,80
89,2015,Naised,57,93,106,117,91,73,75,104,84,74
90,2016,Mehed,32,87,87,91,91,72,76,90,92,87
91,2016,Naised,29,86,91,98,88,76,85,96,86,92
