"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Type of settlement region,Place of residence of groom,Months total,January,February,March,April,May,June,July,August,September,October,November,December
2017,City and town settlement region,Harju county,2855,127,155,185,173,210,289,517,479,287,173,124,136
2017,City and town settlement region,..Tallinn,2409,111,131,154,152,174,250,423,405,244,144,109,112
2017,City and town settlement region,Hiiu county,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,City and town settlement region,Ida-Viru county,582,23,30,29,44,27,53,105,73,62,45,49,42
2017,City and town settlement region,Jõgeva county,17,0,0,1,1,1,1,7,3,0,2,1,0
2017,City and town settlement region,Järva county,45,1,3,3,2,5,5,7,6,3,3,5,2
2017,City and town settlement region,Lääne county,30,1,2,0,1,3,3,7,4,4,2,2,1
2017,City and town settlement region,Lääne-Viru county,76,2,6,1,3,7,6,18,12,6,6,3,6
2017,City and town settlement region,Põlva county,18,0,0,0,1,0,0,4,6,0,1,2,4
2017,City and town settlement region,Pärnu county,187,8,6,12,7,15,13,44,34,17,11,10,10
2017,City and town settlement region,Rapla county,24,0,0,1,0,3,0,4,6,2,3,4,1
2017,City and town settlement region,Saare county,44,1,4,0,2,2,2,12,6,7,2,3,3
2017,City and town settlement region,Tartu county,475,20,22,27,24,32,56,106,75,61,22,13,17
2017,City and town settlement region,Valga county,40,2,0,2,4,7,3,5,9,3,1,3,1
2017,City and town settlement region,Viljandi county,52,3,1,3,1,6,3,16,3,5,1,5,5
2017,City and town settlement region,Võru county,48,2,1,3,4,2,6,8,7,3,4,2,6
2017,Rural settlement region,Harju county,321,11,14,11,13,25,39,69,50,32,20,15,22
2017,Rural settlement region,Hiiu county,29,1,1,0,0,4,2,6,6,6,2,0,1
2017,Rural settlement region,Ida-Viru county,95,2,4,3,6,7,10,27,11,3,9,6,7
2017,Rural settlement region,Jõgeva county,75,3,6,2,1,1,14,15,12,6,5,8,2
2017,Rural settlement region,Järva county,52,3,2,4,1,2,4,9,10,7,3,1,6
2017,Rural settlement region,Lääne county,50,2,5,2,4,3,4,10,11,3,2,1,3
2017,Rural settlement region,Lääne-Viru county,127,6,5,5,5,10,14,38,14,5,7,10,8
2017,Rural settlement region,Põlva county,61,3,1,7,4,2,3,13,6,6,4,3,9
2017,Rural settlement region,Pärnu county,114,4,3,8,4,8,12,27,23,4,7,6,8
2017,Rural settlement region,Rapla county,123,9,4,6,5,10,5,29,16,14,11,7,7
2017,Rural settlement region,Saare county,87,7,3,5,4,9,9,22,14,3,6,2,3
2017,Rural settlement region,Tartu county,193,6,7,8,12,19,18,41,39,17,11,8,7
2017,Rural settlement region,Valga county,60,2,3,4,1,6,9,8,5,7,2,4,9
2017,Rural settlement region,Viljandi county,87,9,4,6,0,4,8,16,14,6,9,4,7
2017,Rural settlement region,Võru county,74,1,0,6,2,6,7,24,10,6,3,0,9
2018,City and town settlement region,Harju county,2853,141,147,127,182,208,298,439,572,194,185,183,177
2018,City and town settlement region,..Tallinn,2398,121,126,109,157,170,249,362,478,161,151,160,154
2018,City and town settlement region,Hiiu county,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,City and town settlement region,Ida-Viru county,558,29,33,28,41,32,65,71,81,57,45,34,42
2018,City and town settlement region,Jõgeva county,20,1,0,0,1,1,6,3,4,0,2,1,1
2018,City and town settlement region,Järva county,43,2,1,6,2,1,5,4,11,2,2,4,3
2018,City and town settlement region,Lääne county,29,2,2,1,2,1,4,4,8,3,0,0,2
2018,City and town settlement region,Lääne-Viru county,70,3,5,4,2,5,11,17,10,4,2,4,3
2018,City and town settlement region,Põlva county,23,0,0,3,1,1,1,2,6,3,2,0,4
2018,City and town settlement region,Pärnu county,190,11,7,6,11,16,22,22,50,12,10,13,10
2018,City and town settlement region,Rapla county,25,1,2,1,0,3,4,0,8,4,0,1,1
2018,City and town settlement region,Saare county,47,2,1,1,2,5,6,6,9,6,2,2,5
2018,City and town settlement region,Tartu county,463,14,18,16,26,31,51,74,108,33,32,28,32
2018,City and town settlement region,Valga county,40,0,2,1,2,4,6,3,12,1,3,3,3
2018,City and town settlement region,Viljandi county,46,2,2,0,1,9,4,7,10,2,3,3,3
2018,City and town settlement region,Võru county,49,0,3,1,2,7,5,5,11,3,5,3,4
2018,Rural settlement region,Harju county,317,19,16,13,17,24,30,39,66,30,22,21,20
2018,Rural settlement region,Hiiu county,39,3,0,0,0,3,5,8,10,2,4,3,1
2018,Rural settlement region,Ida-Viru county,103,7,6,4,8,6,16,9,19,9,7,7,5
2018,Rural settlement region,Jõgeva county,92,1,5,3,4,3,11,16,20,12,5,5,7
2018,Rural settlement region,Järva county,68,4,3,0,3,7,9,15,15,1,3,2,6
2018,Rural settlement region,Lääne county,38,1,2,1,4,2,7,3,9,2,3,1,3
2018,Rural settlement region,Lääne-Viru county,155,3,4,15,3,8,14,32,31,11,12,8,14
2018,Rural settlement region,Põlva county,61,1,1,3,3,4,6,13,14,9,2,5,0
2018,Rural settlement region,Pärnu county,151,5,7,5,6,17,17,24,33,13,8,8,8
2018,Rural settlement region,Rapla county,110,3,2,7,2,6,10,23,21,13,7,8,8
2018,Rural settlement region,Saare county,91,2,8,4,2,6,10,12,23,8,9,4,3
2018,Rural settlement region,Tartu county,201,4,10,9,9,14,20,36,47,16,11,12,13
2018,Rural settlement region,Valga county,53,4,2,2,2,7,5,6,14,3,2,3,3
2018,Rural settlement region,Viljandi county,77,3,1,1,3,3,13,14,20,3,9,1,6
2018,Rural settlement region,Võru county,79,1,2,5,2,5,10,15,24,3,7,2,3
2019,City and town settlement region,Harju county,2979,165,168,170,194,251,354,357,461,323,220,172,144
2019,City and town settlement region,..Tallinn,2492,141,140,146,164,203,297,277,380,279,184,150,131
2019,City and town settlement region,Hiiu county,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,City and town settlement region,Ida-Viru county,564,30,36,41,39,30,70,68,75,47,47,41,40
2019,City and town settlement region,Jõgeva county,15,1,0,0,1,3,0,4,2,2,0,1,1
2019,City and town settlement region,Järva county,42,2,2,3,4,5,4,10,3,2,4,2,1
2019,City and town settlement region,Lääne county,36,0,1,2,0,4,6,4,5,1,4,2,7
