Aasta,Sugu,Vanuserühm,Töötav,Töötu,Pensionär,(Üli)õpilane,Töövõimetu*,Kodune
1992,Mehed,15-19,461,7,0,93,0,57
1992,Mehed,20-24,2885,31,0,436,5,180
1992,Mehed,25-29,1457,16,0,68,4,64
1992,Mehed,30-34,813,9,0,6,3,38
1992,Mehed,35-39,617,4,3,1,4,18
1992,Mehed,40-44,442,4,2,0,3,4
1992,Mehed,45-49,269,1,4,0,7,3
1992,Mehed,50-54,278,2,9,0,8,9
1992,Mehed,55-59,141,1,16,0,2,6
1992,Mehed,60-64,56,0,79,0,1,0
1992,Mehed,65-69,14,0,57,0,0,1
1992,Mehed,70-74,6,0,54,0,0,0
1992,Mehed,75 ja vanemad,1,0,41,0,0,0
1992,Naised,15-19,1086,32,0,557,1,419
1992,Naised,20-24,2141,30,0,512,1,365
1992,Naised,25-29,952,12,1,28,1,158
1992,Naised,30-34,652,9,0,0,6,110
1992,Naised,35-39,490,2,0,1,1,67
1992,Naised,40-44,359,4,0,0,1,44
1992,Naised,45-49,213,4,3,0,2,25
1992,Naised,50-54,179,1,16,0,4,17
1992,Naised,55-59,56,0,88,0,0,1
1992,Naised,60-64,26,0,94,0,1,2
1992,Naised,65-69,12,0,58,0,0,0
1992,Naised,70-74,0,0,21,0,0,0
1992,Naised,75 ja vanemad,0,0,12,0,0,0
1993,Mehed,15-19,273,27,0,66,1,57
1993,Mehed,20-24,2207,150,0,280,4,249
1993,Mehed,25-29,1166,69,0,67,6,101
1993,Mehed,30-34,731,52,1,5,4,41
1993,Mehed,35-39,483,41,3,3,5,32
1993,Mehed,40-44,405,17,3,1,6,18
1993,Mehed,45-49,270,16,7,0,2,13
1993,Mehed,50-54,216,2,12,0,9,9
1993,Mehed,55-59,132,8,42,0,7,4
1993,Mehed,60-64,45,0,115,0,2,2
1993,Mehed,65-69,14,0,81,0,1,0
1993,Mehed,70-74,4,0,38,0,0,0
1993,Mehed,75 ja vanemad,1,0,38,0,0,0
1993,Naised,15-19,588,116,0,427,2,409
1993,Naised,20-24,1630,137,0,407,5,463
1993,Naised,25-29,806,58,0,31,5,199
1993,Naised,30-34,479,33,2,1,3,142
1993,Naised,35-39,427,27,1,0,2,68
1993,Naised,40-44,317,15,0,1,5,52
1993,Naised,45-49,186,10,9,1,8,35
1993,Naised,50-54,172,6,24,0,4,24
1993,Naised,55-59,52,0,118,0,1,5
1993,Naised,60-64,15,0,98,0,0,3
1993,Naised,65-69,4,0,64,0,0,0
1993,Naised,70-74,0,0,28,0,0,0
1993,Naised,75 ja vanemad,0,0,16,0,0,0
1994,Mehed,15-19,230,67,0,62,0,8
1994,Mehed,20-24,1897,262,3,212,5,25
1994,Mehed,25-29,1277,134,0,49,8,23
1994,Mehed,30-34,729,82,2,5,7,10
1994,Mehed,35-39,475,60,1,0,6,2
1994,Mehed,40-44,395,37,4,1,10,4
1994,Mehed,45-49,311,40,8,1,7,3
1994,Mehed,50-54,213,17,10,0,2,5
1994,Mehed,55-59,145,13,54,0,6,1
1994,Mehed,60-64,54,2,93,0,3,0
1994,Mehed,65-69,11,0,94,0,0,0
1994,Mehed,70-74,7,0,38,0,0,0
1994,Mehed,75 ja vanemad,3,0,41,0,0,0
1994,Naised,15-19,464,230,0,368,1,200
1994,Naised,20-24,1555,229,0,352,4,280
1994,Naised,25-29,807,94,0,24,3,176
1994,Naised,30-34,574,90,1,4,5,83
1994,Naised,35-39,397,60,0,1,7,54
1994,Naised,40-44,308,42,5,0,5,46
1994,Naised,45-49,211,26,7,0,3,19
1994,Naised,50-54,157,17,20,0,3,10
1994,Naised,55-59,56,3,141,0,1,2
1994,Naised,60-64,13,0,105,0,0,0
1994,Naised,65-69,4,0,61,0,0,0
1994,Naised,70-74,0,0,31,0,0,0
1994,Naised,75 ja vanemad,1,0,11,0,0,0
1995,Mehed,15-19,208,36,0,59,0,10
1995,Mehed,20-24,1868,188,0,225,2,46
1995,Mehed,25-29,1315,99,1,64,4,20
1995,Mehed,30-34,662,77,0,9,6,8
1995,Mehed,35-39,478,67,4,1,8,9
1995,Mehed,40-44,352,28,7,0,12,11
1995,Mehed,45-49,323,32,6,0,5,1
1995,Mehed,50-54,170,10,4,0,9,2
1995,Mehed,55-59,136,12,31,0,4,5
1995,Mehed,60-64,42,3,86,0,1,0
1995,Mehed,65-69,16,0,60,0,0,0
1995,Mehed,70-74,1,0,45,0,0,0
1995,Mehed,75 ja vanemad,1,0,28,0,0,0
1995,Naised,15-19,383,161,0,368,0,235
1995,Naised,20-24,1445,192,0,380,2,392
1995,Naised,25-29,792,80,0,38,4,213
1995,Naised,30-34,473,58,0,3,3,131
1995,Naised,35-39,345,55,0,1,3,47
1995,Naised,40-44,284,36,4,0,0,38
1995,Naised,45-49,227,30,11,0,4,30
1995,Naised,50-54,125,7,20,0,4,14
1995,Naised,55-59,43,1,99,0,1,4
1995,Naised,60-64,5,0,90,0,0,1
1995,Naised,65-69,1,1,63,0,0,0
1995,Naised,70-74,0,1,22,0,0,0
1995,Naised,75 ja vanemad,0,0,11,0,0,0
1996,Mehed,15-19,118,22,0,29,0,6
1996,Mehed,20-24,1411,154,1,180,4,21
1996,Mehed,25-29,1151,88,1,40,4,22
1996,Mehed,30-34,610,56,0,4,5,12
1996,Mehed,35-39,363,39,4,2,2,7
1996,Mehed,40-44,271,33,7,0,5,7
1996,Mehed,45-49,254,22,13,0,9,3
1996,Mehed,50-54,124,9,6,0,2,2
1996,Mehed,55-59,100,8,20,0,5,2
1996,Mehed,60-64,29,0,53,0,0,0
1996,Mehed,65-69,7,1,61,0,0,0
1996,Mehed,70-74,1,0,31,0,0,0
1996,Mehed,75 ja vanemad,0,0,26,0,0,0
1996,Naised,15-19,247,96,0,232,0,194
1996,Naised,20-24,1111,166,0,326,2,343
1996,Naised,25-29,714,60,0,40,9,193
1996,Naised,30-34,389,41,0,3,3,90
1996,Naised,35-39,277,37,2,0,7,46
1996,Naised,40-44,209,27,0,0,6,29
1996,Naised,45-49,197,24,4,0,4,18
1996,Naised,50-54,91,10,6,0,4,9
1996,Naised,55-59,34,5,56,0,2,1
1996,Naised,60-64,8,0,45,0,1,0
1996,Naised,65-69,0,0,56,0,0,0
1996,Naised,70-74,1,0,19,0,0,0
1996,Naised,75 ja vanemad,0,0,9,0,0,0
